cql,my,blacklab,speed
[word='迅速'],19.36363636,15.5,FALSE
[word='自负'],7.5,15.6,TRUE
[word='导引'],15,15.6,TRUE
[word='多亏'&pos='VV'],15,16,TRUE
[word='政权'],15.2,15.6,TRUE
[word='无数'],15,18.16666667,TRUE
[word='记录'],16.90909091,15.57142857,FALSE
[word='员工'],15.27272727,15.57142857,TRUE
[word='礼赞'],15,15.6,TRUE
[word='亲戚'],15,15.66666667,TRUE
[word='品种'],13.5,15.57142857,TRUE
[word='盖棺'],6.666666667,15.66666667,TRUE
[word='搜索'],15,15.5,TRUE
[word='不利于'],15,14.83333333,FALSE
[word='标准煤'],13.72727273,15.6,TRUE
[word='无暇'],15,15.66666667,TRUE
[word='嘿客'],15,15.6,TRUE
[word='人民币'&pos='NN'],22.27272727,15.5,FALSE
[word='规律性'],15,15.6,TRUE
[word='一线'],15,22,TRUE
[word='梅西'],7.75,15.66666667,TRUE
[word='成石'],15,11,FALSE
[word='炒作'],15,15.8,TRUE
[word='转化'&pos='VV'],15.54545455,15.5,FALSE
[word='缺口'],10.33333333,14,TRUE
[word='磐石'],7.75,15.6,TRUE
[word='单独'],15.4,16.33333333,TRUE
[word='常委'],16.81818182,17.85714286,TRUE
[word='第十二'],10.11111111,15.57142857,TRUE
[word='位于'&pos='VV'],11.8,16,TRUE
[word='瑞士队'],15,15.8,TRUE
[word='解体'],15,15.6,TRUE
[word='边境线'],15,15.6,TRUE
[word='动用'],9,15.5,TRUE
[word='欲望'&pos='NN'],9.2,15.5,TRUE
[word='立场'],12.18181818,19.33333333,TRUE
[word='标志'],15.09090909,15.71428571,TRUE
[word='共处'],9.5,15.71428571,TRUE
[word='主管'&pos='NN'],13.63636364,15.5,TRUE
[word='舌战'],8,15.5,TRUE
[word='圣保罗'],10,15.66666667,TRUE
[word='人民网'],6.285714286,15.66666667,TRUE
[word='债券'],10.14285714,17.85714286,TRUE
[word='抹黑'],12.66666667,15.6,TRUE
[word='即逝'],7.5,15.6,TRUE
[word='潮流'],14.66666667,15.57142857,TRUE
[word='麦积山石窟'],15,15.6,TRUE
[word='极端主义'&pos='NN'],9.2,16,TRUE
[word='预算'],21.63636364,15.625,FALSE
[word='假币'],15,15.8,TRUE
[word='田禾'&pos='NR'],15,15,FALSE
[word='打通'],11,15.66666667,TRUE
[word='卡西罗拉'],7.5,16,TRUE
[word='爱国'],13.11111111,15.57142857,TRUE
[word='县委'],15.09090909,14.57142857,FALSE
[word='新建'],15,17.28571429,TRUE
[word='重新'],16,15.71428571,FALSE
[word='人生'&pos='NN'],23.54545455,16,FALSE
[word='奖励'],9.545454545,15.57142857,TRUE
[word='农场'],9.5,15.125,TRUE
[word='接收'],9.166666667,18.8,TRUE
[word='公民'],19.81818182,15.57142857,FALSE
[word='庞大'],15,16.16666667,TRUE
[word='一把手'&pos='NN'],15,16,TRUE
[word='队员'],12.2,16.5,TRUE
[word='前提'],15.09090909,17.57142857,TRUE
[word='市民'],22.27272727,15.57142857,FALSE
[word='调控'],13.63636364,17.85714286,TRUE
[word='这边'&pos='PN'],6,16,TRUE
[word='零食'&pos='NN'],15,15.5,TRUE
[word='借鉴'],12.36363636,16.5,TRUE
[word='影视'],10.2,15.66666667,TRUE
[word='克罗地亚'],10,15.6,TRUE
[word='焦点'],15,15.14285714,TRUE
[word='二氧化碳'&pos='NN'],15,15.5,TRUE
[word='处处'],15,16.6,TRUE
[word='分行'],13,15.71428571,TRUE
[word='冷漠'],9,15.6,TRUE
[word='换药'],8,15.6,TRUE
[word='事实'&pos='NN'],17.81818182,15.5,FALSE
[word='护航'],9,16.5,TRUE
[word='国内外'],14.71428571,15.57142857,TRUE
[word='逻辑'],15.16666667,15.57142857,TRUE
[word='宏观'],15,13.4,FALSE
[word='常山'],15,15.6,TRUE
[word='联体'],15,10.55555556,FALSE
[word='气馁'],8,8.8,TRUE
[word='踏进'],10.33333333,8.181818182,FALSE
[word='替代'],9.111111111,8.818181818,FALSE
[word='机场'&pos='NN'],15.3,10.66666667,FALSE
[word='年满'],10.33333333,8.727272727,FALSE
[word='触景生情'],7.5,6.454545455,FALSE
[word='马云'],15,15.66666667,TRUE
[word='批评'],16.36363636,15.57142857,FALSE
[word='机器人'],10.33333333,15.42857143,TRUE
[word='生长'],15,10.5,FALSE
[word='足以'&pos='VV'],9.625,16,TRUE
[word='火电厂'],10.5,13,TRUE
[word='勉励'],10.33333333,13.57142857,TRUE
[word='汉字'],9,12.22222222,TRUE
[word='内阁'&pos='NN'],10,10.33333333,TRUE
[word='自治州'],8.857142857,16.5,TRUE
[word='正常'],17.36363636,13.22222222,FALSE
[word='免去'],9,11,TRUE
[word='赋予'],15,18,TRUE
[word='务实'&pos='NN'],22.27272727,15.5,FALSE
[word='铺设'],15,15.66666667,TRUE
[word='竣工'],15.33333333,15.66666667,TRUE
[word='山东'],16.81818182,15.57142857,FALSE
[word='身处'],10.2,13.83333333,TRUE
[word='感恩心'],15,15.66666667,TRUE
[word='陪伴'],15,15.66666667,TRUE
[word='翻炒'],15,15.75,TRUE
[word='领空'],15,15.6,TRUE
[word='冰封'],15,15.66666667,TRUE
[word='李朴民'],8.333333333,15.6,TRUE
[word='土出'],17.54545455,15.5,FALSE
[word='观念'&pos='NN'],22.54545455,15.5,FALSE
[word='警示'],15,15.66666667,TRUE
[word='斗争'],15,16.85714286,TRUE
[word='本色'],9.2,15.66666667,TRUE
[word='判处'&pos='VV'],7.428571429,7,FALSE
[word='担负'],8.166666667,15.57142857,TRUE
[word='通知'],18.36363636,18.85714286,TRUE
[word='做事'],12.4,15.5,TRUE
[word='湖泊'],10.75,15.66666667,TRUE
[word='人选'&pos='NN'],9,15.5,TRUE
[word='寄托'],11.5,15.5,TRUE
[word='一块'],15,15.6,TRUE
[word='想象力'&pos='NN'],9.2,16,TRUE
[word='接近'],14.71428571,18,TRUE
[word='含量'],12.2,15.5,TRUE
[word='变形'&pos='VV'],13,16,TRUE
[word='党校'],15.2,15.71428571,TRUE
[word='组成'],25.18181818,16.875,FALSE
[word='送去'],15,15.6,TRUE
[word='臭气熏天'],15,15.6,TRUE
[word='涅姆采夫'],10,15.66666667,TRUE
[word='定期'],12,15.57142857,TRUE
[word='先生'&pos='NN'],17.45454545,16,FALSE
[word='排污'],14.25,15.66666667,TRUE
[word='提到'&pos='VV'],15,15,FALSE
[word='伯格'],15,15.6,TRUE
[word='自我'],22.27272727,17.42857143,FALSE
[word='放眼'&pos='VV'],15,16,TRUE
[word='公积金'],15,13.42857143,FALSE
[word='全局'&pos='NN'],15,10.33333333,FALSE
[word='老百姓'],17.90909091,13.11111111,FALSE
[word='搭建'],15,12,FALSE
[word='临时'],15.5,10.36363636,FALSE
[word='私人'],14.8,10.09090909,FALSE
[word='终于'],15.1,10.72727273,FALSE
[word='风雨'],11.25,8.454545455,FALSE
[word='沿着'],9.625,8.818181818,FALSE
[word='闽江'],7,7.454545455,TRUE
[word='否则'],9.625,10.27272727,TRUE
[word='出发'],15.09090909,10.45454545,FALSE
[word='国防'],15.27272727,10.36363636,FALSE
[word='团体'],13.55555556,9.818181818,FALSE
[word='电力'],15,10.18181818,FALSE
[word='楼市'],10.25,8.454545455,FALSE
[word='母亲'],15.3,10.27272727,FALSE
[word='大多'],13.66666667,9.272727273,FALSE
[word='至少'],15.09090909,10.27272727,FALSE
[word='广铁'],7.5,8,TRUE
[word='老李'],6.333333333,8.454545455,TRUE
[word='纽约'],10.5,10.45454545,FALSE
[word='身边'],15,11.72727273,FALSE
[word='赖明'],10.33333333,7.909090909,FALSE
[word='处分'],15,10.09090909,FALSE
[word='危害'],13,11.27272727,FALSE
[word='修改'],16.45454545,11.18181818,FALSE
[word='流动'],15,10.27272727,FALSE
[word='阻力'],7.75,8.818181818,TRUE
[word='动员会'],7.5,7.636363636,TRUE
[word='街道'],14.81818182,10.72727273,FALSE
[word='污染物'],13.14285714,9,FALSE
[word='中医院'],7,8.090909091,TRUE
[word='方便'],15.36363636,10.27272727,FALSE
[word='中小学'],12.2,9.181818182,FALSE
[word='马上'],11.375,9.727272727,FALSE
[word='走进'],15,10.90909091,FALSE
[word='天下'],15,10.90909091,FALSE
[word='外地'],9.714285714,8.727272727,FALSE
[word='的话'],9.636363636,9.363636364,FALSE
[word='财经'],10.2,8.363636364,FALSE
[word='通信'],12.72727273,10.36363636,FALSE
[word='多样'],11,10.27272727,FALSE
[word='上涨'],15,10.63636364,FALSE
[word='事关'],9.625,9.454545455,FALSE
[word='于是'],15,10.09090909,FALSE
[word='论文'],12.5,9.818181818,FALSE
[word='挑灯'],8,8.636363636,TRUE
[word='列出'],9.2,8,FALSE
[word='视点'],7.5,8,TRUE
[word='城区'],10.6,11.36363636,TRUE
[word='针对性'],12.63636364,10.63636364,FALSE
[word='整饬'],9,7.727272727,FALSE
[word='低估'],8.333333333,7.636363636,FALSE
[word='洪流'],8.25,8,FALSE
[word='照料'],9.2,9.181818182,FALSE
[word='吃亏'],10,7.545454545,FALSE
[word='淡定'],6.333333333,7.818181818,TRUE
[word='即将'],11.18181818,10.63636364,FALSE
[word='非法'],15.27272727,10.45454545,FALSE
[word='胜任'],10.33333333,7.727272727,FALSE
[word='武汉'],11.88888889,9.727272727,FALSE
[word='大连'],11.16666667,7.909090909,FALSE
[word='遭遇'],12.09090909,10.45454545,FALSE
[word='到位'],15.54545455,10.81818182,FALSE
[word='广东'],16.18181818,12.09090909,FALSE
[word='带头'],15,10.27272727,FALSE
[word='出神'],8,5.454545455,FALSE
[word='助教'],10,7.636363636,FALSE
[word='注册'],16.45454545,11.72727273,FALSE
[word='能量'],13,10.18181818,FALSE
[word='河道'],10,9.181818182,FALSE
[word='精美'],7.75,8.181818182,TRUE
[word='尴尬'],9.142857143,8.636363636,FALSE
[word='随之'],11,8.727272727,FALSE
[word='涉农'],9.2,8.363636364,FALSE
[word='实事求是'],10.33333333,9.090909091,FALSE
[word='中意'],10.33333333,8,FALSE
[word='爆炸'],10.22222222,9.181818182,FALSE
[word='治疗'],15.45454545,10.36363636,FALSE
[word='牛鼻子'],6.571428571,8.090909091,TRUE
[word='雅致'],4.666666667,7.727272727,TRUE
[word='推行'],14.09090909,10.36363636,FALSE
[word='贫民窟'],10.33333333,7.636363636,FALSE
[word='赌球'],8,6.909090909,FALSE
[word='查实'],7.666666667,7.818181818,TRUE
[word='引进'],13.90909091,10.63636364,FALSE
[word='同事'],9.375,9.818181818,TRUE
[word='保质期'],7.5,7.727272727,TRUE
[word='人家'],11.33333333,9.272727273,FALSE
[word='唯一'],14.72727273,10.63636364,FALSE
[word='车尔尼雪夫斯基'],9.625,7,FALSE
[word='袭击'],11.88888889,9.727272727,FALSE
[word='仅仅'],15,10.27272727,FALSE
[word='停电'],7.75,7.636363636,FALSE
[word='承诺书'],7.5,7.727272727,TRUE
[word='延误'],7.75,8.363636364,TRUE
[word='权法'],10.22222222,8,FALSE
[word='议题'],12.85714286,10.63636364,FALSE
